Main_Topic,Subtopic,Law_Name,Part,Start_Article,End_Article,Keywords,Description
أحكام عامة,نطاق تطبيق القانون,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الأول,1,5,أحكام عامة، تعريفات، إجراءات,يتناول الأحكام العامة التي تحكم تطبيق القانون وإجراءاته.
اختصاص المحاكم,الاختصاص النوعي,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثاني,6,14,اختصاص المحكمة، الولاية على النفس، الولاية على المال,يحدد اختصاص محاكم الأحوال الشخصية بحسب نوع النزاع.
ختصاص المحاكم,الاختصاص المحلي,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثاني,15,17,الاختصاص المحلي، موطن المدعي، موطن المدعى عليه,يوضح المحكمة المختصة مكانيًا بنظر دعاوى الأحوال الشخصية، مثل النفقات والحضانة والطلاق والخلع
رفع الدعوى,إجراءات رفع الدعوى,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,17,23,رفع الدعوى، إثبات الزواج، الصلح، الحكمين,يوضح شروط قبول الدعوى وإجراءات نظرها أمام المحكمة.
الطلاق,الصلح بين الزوجين,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,18,19,صلح، حكمين، إصلاح,ينظم إجراءات الصلح وندب الحكمين قبل الفصل في دعاوى الطلاق
الطلاق,الخلع,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,20,20,خلع، رد الصداق، طلاق بائن,يحدد شروط وإجراءات دعوى الخلع وآثارها القانونية.
الطلاق,توثيق الطلاق والرجعة,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,21,22,توثيق الطلاق، الرجعة، إعلان الزوجة,يوضح قواعد توثيق الطلاق وإثبات مراجعة الزوج لمطلقته.
النفقة,تقدير دخل المحكوم عليه,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,23,23,نفقة، دخل الزوج، تحقيق النيابة,يبين كيفية التحقق من دخل المحكوم عليه عند الفصل في دعاوى النفقة.
المواريث,إشهاد الوفاة والوراثة,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,24,26,وفاة، وراثة، وصية واجبة,ينظم إجراءات إثبات الوفاة والوراثة والوصية الواجبة.
الولاية على المال,إدارة أموال القصر والغائبين,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الثالث,27,52,ولاية على المال، وصاية، قاصر، غائب، نيابة الحسبية,يتناول إجراءات حماية وإدارة أموال القصر وناقصي الأهلية والغائبين.
الأحكام والطعون,إصدار الأحكام والطعن عليها,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الرابع,53,65,حكم، استئناف، طعن,ينظم إصدار الأحكام وطرق الطعن عليها.
التنفيذ,تنفيذ الأحكام والقرارات,قانون تنظيم بعض أوضاع وإجراءات التقاضي في مسائل الأحوال الشخصية,الباب الخامس,66,76,تنفيذ، رؤية، حضانة، تسليم الصغير,يحدد قواعد تنفيذ أحكام الأحوال الشخصية، خاصة المتعلقة بالحضانة والرؤية وتسليم الصغير.
أحكام عامة,إصدار قانون العمل,قانون العمل رقم 14 لسنة 2025,إصدار القانون,1,4,إصدار القانون، الإلغاء، سريان القانون,يتضمن مواد إصدار قانون العمل، وإلغاء القانون السابق، والأحكام الانتقالية الخاصة بتطبيق القانون.
أحكام عامة,التعريفات ونطاق التطبيق,قانون العمل رقم 14 لسنة 2025,الكتاب الأول - أحكام عامة,5,10,التعريفات، العامل، صاحب العمل، المنشأة، الأجر,يوضح التعريفات الأساسية والمصطلحات المستخدمة في القانون ونطاق تطبيقه.
التشغيل,سياسات التشغيل والتدريب,قانون العمل رقم 14 لسنة 2025,الكتاب الثاني,11,16,التشغيل، التدريب، التأهيل، القوى العاملة,ينظم دور الدولة في التشغيل والتدريب والتأهيل وربط العمالة بسوق العمل.
